Commodity,Month,Year,Quarter,Time,Balance ($US),Total Exports Value ($US),Customs Import Value (Gen) ($US)
All Commodities,January,2002,Q1,January 2002,-6846054338,1569313503,8415367841
All Commodities,February,2002,Q1,February 2002,-6491284627,1529492578,8020777205
All Commodities,March,2002,Q1,March 2002,-5638471747,1620488889,7258960636
All Commodities,April,2002,Q2,April 2002,-7553013934,1544544989,9097558923
All Commodities,May,2002,Q2,May 2002,-8073020819,1773915631,9846936450
All Commodities,June,2002,Q2,June 2002,-8521227849,2205939528,10727167377
All Commodities,July,2002,Q3,July 2002,-9365219748,1847999145,11213218893
All Commodities,August,2002,Q3,August 2002,-10831610144,1839815968,12671426112
All Commodities,September,2002,Q3,September 2002,-10267792906,2023728253,12291521159
All Commodities,October,2002,Q4,October 2002,-9492259430,1962695203,11454954633
All Commodities,November,2002,Q4,November 2002,-10408826648,2160758163,12569584811
All Commodities,December,2002,Q4,December 2002,-9575892568,2049098442,11624991010
All Commodities,January,2003,Q1,January 2003,-9333665682,2069831893,11403497575
All Commodities,February,2003,Q1,February 2003,-7580956295,2048670815,9629627110
All Commodities,March,2003,Q1,March 2003,-7686939854,2423104708,10110044562
All Commodities,April,2003,Q2,April 2003,-9399905702,2121946680,11521852382
All Commodities,May,2003,Q2,May 2003,-9900382810,1984318683,11884701493
All Commodities,June,2003,Q2,June 2003,-10007680292,2119621137,12127301429
All Commodities,July,2003,Q3,July 2003,-11371229512,2067405578,13438635090
All Commodities,August,2003,Q3,August 2003,-11730438781,2034428227,13764867008
All Commodities,September,2003,Q3,September 2003,-12656548622,2090976796,14747525418
All Commodities,October,2003,Q4,October 2003,-13679981152,2778336455,16458317607
All Commodities,November,2003,Q4,November 2003,-10837255312,3319692649,14156947961
All Commodities,December,2003,Q4,December 2003,-9883170025,3309609238,13192779263
All Commodities,January,2004,Q1,January 2004,-11468525703,2620489793,14089015496
All Commodities,February,2004,Q1,February 2004,-8338156059,2928991616,11267147675
All Commodities,March,2004,Q1,March 2004,-10438209270,3361910701,13800119971
All Commodities,April,2004,Q2,April 2004,-12010230290,2734553860,14744784150
All Commodities,May,2004,Q2,May 2004,-12232058855,2835052068,15067110923
All Commodities,June,2004,Q2,June 2004,-14123545467,2764217124,16887762591
All Commodities,July,2004,Q3,July 2004,-14943305964,2618793915,17562099879
All Commodities,August,2004,Q3,August 2004,-15446896244,2620970808,18067867052
All Commodities,September,2004,Q3,September 2004,-15563875193,2823070552,18386945745
All Commodities,October,2004,Q4,October 2004,-16771413659,2946743822,19718157481
All Commodities,November,2004,Q4,November 2004,-16740816772,2938175371,19678992143
All Commodities,December,2004,Q4,December 2004,-14177228003,3234802826,17412030829
All Commodities,January,2005,Q1,January 2005,-15276514484,2609326126,17885840610
All Commodities,February,2005,Q1,February 2005,-13879505721,3058089091,16937594812
All Commodities,March,2005,Q1,March 2005,-12848563774,3336381178,16184944952
All Commodities,April,2005,Q2,April 2005,-14884787406,3263670754,18148458160
All Commodities,May,2005,Q2,May 2005,-15830277142,3222909738,19053186880
All Commodities,June,2005,Q2,June 2005,-17605971051,3370730806,20976701857
All Commodities,July,2005,Q3,July 2005,-17712697315,3559972145,21272669460
All Commodities,August,2005,Q3,August 2005,-18692568501,3728723847,22421292348
All Commodities,September,2005,Q3,September 2005,-20128668413,3165813266,23294481679
All Commodities,October,2005,Q4,October 2005,-20483701230,3899151496,24382852726
All Commodities,November,2005,Q4,November 2005,-18618636744,3807491572,22426128316
All Commodities,December,2005,Q4,December 2005,-16316202891,4169750104,20485952995
All Commodities,January,2006,Q1,January 2006,-17985635758,3396870149,21382505907
All Commodities,February,2006,Q1,February 2006,-13833108381,4072245086,17905353467
All Commodities,March,2006,Q1,March 2006,-15664193620,4867064710,20531258330
All Commodities,April,2006,Q2,April 2006,-17226665438,4232404495,21459069933
All Commodities,May,2006,Q2,May 2006,-17883545082,4434090049,22317635131
All Commodities,June,2006,Q2,June 2006,-19686794060,4302905336,23989699396
All Commodities,July,2006,Q3,July 2006,-19825735662,4806275103,24632010765
All Commodities,August,2006,Q3,August 2006,-22110066658,4603268577,26713335235
All Commodities,September,2006,Q3,September 2006,-23109608039,4461009876,27570617915
All Commodities,October,2006,Q4,October 2006,-24503337564,4885264175,29388601739
